FOODNAME,good,sad,tired,stress
블랙앵거스 스테이크 더블치즈엣지 오리지널 M,0,0,1,0
블랙타이거 슈림프 오리지널 L,0,0,1,0
블랙타이거 슈림프 오리지널 M,0,0,1,0
블랙타이거 슈림프 나폴리M,0,0,1,0
블랙타이거 슈림프 나폴리L,0,0,1,0
블랙타이거 슈림프 씬 M,0,0,1,0
블랙타이거 슈림프 씬 L,0,0,1,0
블랙타이거 슈림프 슈퍼시드 함유 도우L,0,0,1,0
블랙타이거 슈림프 더블치즈엣지 오리지널 L,0,0,1,0
블랙타이거슈림프 슈퍼시드 함유 도우M,0,0,1,0
블랙타이거슈림프 더블치즈엣지 오리지널 M,0,0,1,0
슈퍼디럭스 오리지널 L,0,0,1,0
슈퍼디럭스 오리지널 M,0,0,1,0
슈퍼디럭스 나폴리L,0,0,1,0
슈퍼디럭스 나폴리M,0,0,1,0
슈퍼디럭스 씬 L,0,0,1,0
슈퍼디럭스 씬 M,0,0,1,0
슈퍼디럭스 슈퍼시드 함유 도우L,0,0,1,0
슈퍼디럭스 슈퍼시드 함유 도우M,0,0,1,0
슈퍼디럭스 더블치즈엣지 오리지널 L,0,0,1,0
슈퍼디럭스 더블치즈엣지 오리지널 M,0,0,1,0
슈퍼슈프림 오리지널 L,0,0,1,0
슈퍼슈프림 오리지널 M,0,0,1,0
슈퍼슈프림 나폴리L,0,0,1,0
슈퍼슈프림 나폴리M,0,0,1,0
슈퍼슈프림 씬 L,0,0,1,0
슈퍼슈프림 씬 M,0,0,1,0
슈퍼슈프림 슈퍼시드 함유 도우L,0,0,1,0
슈퍼슈프림 슈퍼시드 함유 도우M,0,0,1,0
슈퍼슈프림 더블치즈엣지 오리지널 L,0,0,1,0
슈퍼슈프림 더블치즈엣지 오리지널 M,0,0,1,0
와규 앤 비스테카 오리지널 L,0,0,1,0
와규 앤 비스테카 오리지널 M,0,0,1,0
와규 앤 비스테카 나폴리L,0,0,1,0
와규 앤 비스테카 나폴리M,0,0,1,0
와규 앤 비스테카 씬 L,0,0,1,0
와규 앤 비스테카 씬 M,0,0,1,0
와규 앤 비스테카 슈퍼시드 함유 도우L,0,0,1,0
와규 앤 비스테카 슈퍼시드 함유 도우M,0,0,1,0
와규 앤 비스테카 더블치즈엣지 오리지널 L,0,0,1,0
와규 앤 비스테카 더블치즈엣지 오리지널 M,0,0,1,0
우리 고구마 오리지널 L,0,0,1,0
우리 고구마 오리지널 M,0,0,1,0
우리 고구마 나폴리L,0,0,1,0
우리 고구마 나폴리M,0,0,1,0
우리 고구마 씬 L,0,0,1,0
우리 고구마 씬 M,0,0,1,0
우리 고구마 슈퍼시드 함유 도우L,0,0,1,0
우리 고구마 슈퍼시드 함유 도우M,0,0,1,0
우리 고구마 더블치즈엣지 오리지널 L,0,0,1,0
우리 고구마 더블치즈엣지 오리지널 M,0,0,1,0
직화 스테이크 오리지널 L,0,0,1,0
직화 스테이크 오리지널 M,0,0,1,0
직화 스테이크 나폴리L,0,0,1,0
직화 스테이크 나폴리M,0,0,1,0
직화 스테이크 씬 L,0,0,1,0
직화 스테이크 씬 M,0,0,1,0
직화 스테이크 슈퍼시드 함유 도우L,0,0,1,0
직화 스테이크 슈퍼시드 함유 도우M,0,0,1,0
직화 스테이크 더블치즈엣지 오리지널 M,0,0,1,0
직화 스테이크 더블치즈엣지 오리지널 L,0,0,1,0
치즈 오리지널 L,0,0,1,0
치즈 오리지널 M,0,0,1,0
치즈 나폴리L,0,0,1,0
치즈 나폴리M,0,0,1,0
치즈 씬 L,0,0,1,0
치즈 씬 M,0,0,1,0
치즈 슈퍼시드 함유 도우L,0,0,1,0
치즈 슈퍼시드 함유 도우M,0,0,1,0
치즈 더블치즈엣지 오리지널 L,0,0,1,0
치즈가든 오리지널 L,0,0,1,0
치즈가든 오리지널 M,0,0,1,0
치즈가든 나폴리L,0,0,1,0
치즈가든 나폴리M,0,0,1,0
치즈가든 씬 L,0,0,1,0
치즈가든 씬 M,0,0,1,0
치즈가든 슈퍼시드 함유 도우L,0,0,1,0
치즈가든 슈퍼시드 함유 도우M,0,0,1,0
치즈가든 더블치즈엣지 오리지널 L,0,0,1,0
치즈가든 더블치즈엣지 오리지널 M,0,0,1,0
치즈피자 더블치즈엣지 오리지널 M,0,0,1,0
페퍼로니 오리지널 L,0,0,1,0
페퍼로니 오리지널 M,0,0,1,0
페퍼로니 나폴리L,0,0,1,0
페퍼로니 나폴리M,0,0,1,0
페퍼로니 씬 L,0,0,1,0
페퍼로니 씬 M,0,0,1,0
페퍼로니 슈퍼시드 함유 도우L,0,0,1,0
페퍼로니 슈퍼시드 함유 도우M,0,0,1,0
페퍼로니 더블치즈엣지 오리지널 L,0,0,1,0
페퍼로니 더블치즈엣지 오리지널 M,0,0,1,0
포테이토 오리지널 L,0,0,1,0
포테이토 오리지널 M,0,0,1,0
포테이토 나폴리L,0,0,1,0
포테이토 나폴리M,0,0,1,0
포테이토 씬 L,0,0,1,0
포테이토 씬 M,0,0,1,0
포테이토 슈퍼시드 함유 도우L,0,0,1,0
포테이토 슈퍼시드 함유 도우M,0,0,1,0
포테이토 더블치즈엣지 오리지널 L,0,0,1,0
포테이토 더블치즈엣지 오리지널 M,0,0,1,0
핫치킨 오리지널 L,0,0,1,1
핫치킨 오리지널 M,0,0,1,1
핫치킨 나폴리L,0,0,1,1
핫치킨 나폴리M,0,0,1,1
핫치킨 씬 L,0,0,1,1
핫치킨 씬 M,0,0,1,1
핫치킨 슈퍼시드 함유 도우L,0,0,1,1
핫치킨 슈퍼시드 함유 도우M,0,0,1,1
핫치킨 더블치즈엣지 오리지널 L,0,0,1,1
핫치킨 더블치즈엣지 오리지널 M,0,0,1,1
먹물 오징어링,0,1,0,0
